surah_no,surah_name_en,surah_name_ar,surah_name_roman,ayah_no_surah,ayah_no_quran,ayah_ar,ayah_en,ruko_no,juz_no,manzil_no,hizb_quarter,total_ayah_surah,total_ayah_quran,place_of_revelation,sajah_ayah,sajdah_no,no_of_word_ayah,list_of_words
8,The Spoils of War,الأنفال,Al-Anfal,21,1181,ولا تكونوا كٱلذين قالوا سمعنا وهم لا يسمعون,"Do not be like those who say, “We hear,” but in fact they are not listening.",148,9,2,71,75,6236,Medinan,False,nan,8,"[ولا,تكونوا,كٱلذين,قالوا,سمعنا,وهم,لا,يسمعون]"
8,The Spoils of War,الأنفال,Al-Anfal,22,1182,۞ إن شر ٱلدواب عند ٱلله ٱلصم ٱلبكم ٱلذين لا يعقلون,"Indeed, the worst of all beings in the sight of Allah are the ˹wilfully˺ deaf and dumb, who do not understand.",148,9,2,72,75,6236,Medinan,False,nan,11,"[۞,إن,شر,ٱلدواب,عند,ٱلله,ٱلصم,ٱلبكم,ٱلذين,لا,يعقلون]"
8,The Spoils of War,الأنفال,Al-Anfal,23,1183,ولو علم ٱلله فيهم خيرا لأسمعهم  ولو أسمعهم لتولوا وهم معرضون,"Had Allah known any goodness in them, He would have certainly made them hear. ˹But˺ even if He had made them hear, they would have surely turned away heedlessly.",148,9,2,72,75,6236,Medinan,False,nan,12,"[ولو,علم,ٱلله,فيهم,خيرا,لأسمعهم,,ولو,أسمعهم,لتولوا,وهم,معرضون]"
8,The Spoils of War,الأنفال,Al-Anfal,24,1184,يأيها ٱلذين ءامنوا ٱستجيبوا لله وللرسول إذا دعاكم لما يحييكم  وٱعلموا أن ٱلله يحول بين ٱلمرء وقلبهۦ وأنهۥ إليه تحشرون,"O believers! Respond to Allah and His Messenger when he calls you to that which gives you life. And know that Allah stands between a person and their heart, and that to Him you will all be gathered.",148,9,2,72,75,6236,Medinan,False,nan,21,"[يأيها,ٱلذين,ءامنوا,ٱستجيبوا,لله,وللرسول,إذا,دعاكم,لما,يحييكم,,وٱعلموا,أن,ٱلله,يحول,بين,ٱلمرء,وقلبهۦ,وأنهۥ,إليه,تحشرون]"
8,The Spoils of War,الأنفال,Al-Anfal,25,1185,وٱتقوا فتنة لا تصيبن ٱلذين ظلموا منكم خاصة  وٱعلموا أن ٱلله شديد ٱلعقاب,Beware of a trial that will not only affect the wrongdoers among you. And know that Allah is severe in punishment.,148,9,2,72,75,6236,Medinan,False,nan,14,"[وٱتقوا,فتنة,لا,تصيبن,ٱلذين,ظلموا,منكم,خاصة,,وٱعلموا,أن,ٱلله,شديد,ٱلعقاب]"
8,The Spoils of War,الأنفال,Al-Anfal,26,1186,وٱذكروا إذ أنتم قليل مستضعفون فى ٱلأرض تخافون أن يتخطفكم ٱلناس فـاوىكم وأيدكم بنصرهۦ ورزقكم من ٱلطيبت لعلكم تشكرون,"Remember when you had been vastly outnumbered and oppressed in the land, constantly in fear of attacks by your enemy, then He sheltered you, strengthened you with His help, and provided you with good things so perhaps you would be thankful.",148,9,2,72,75,6236,Medinan,False,nan,19,"[وٱذكروا,إذ,أنتم,قليل,مستضعفون,فى,ٱلأرض,تخافون,أن,يتخطفكم,ٱلناس,فـاوىكم,وأيدكم,بنصرهۦ,ورزقكم,من,ٱلطيبت,لعلكم,تشكرون]"
8,The Spoils of War,الأنفال,Al-Anfal,27,1187,يأيها ٱلذين ءامنوا لا تخونوا ٱلله وٱلرسول وتخونوا أمنتكم وأنتم تعلمون,"O believers! Do not betray Allah and the Messenger, nor betray your trusts knowingly.",148,9,2,72,75,6236,Medinan,False,nan,11,"[يأيها,ٱلذين,ءامنوا,لا,تخونوا,ٱلله,وٱلرسول,وتخونوا,أمنتكم,وأنتم,تعلمون]"
8,The Spoils of War,الأنفال,Al-Anfal,28,1188,وٱعلموا أنما أمولكم وأولدكم فتنة وأن ٱلله عندهۥ أجر عظيم,And know that your wealth and your children are only a test and that with Allah is a great reward.,148,9,2,72,75,6236,Medinan,False,nan,10,"[وٱعلموا,أنما,أمولكم,وأولدكم,فتنة,وأن,ٱلله,عندهۥ,أجر,عظيم]"
8,The Spoils of War,الأنفال,Al-Anfal,29,1189,يأيها ٱلذين ءامنوا إن تتقوا ٱلله يجعل لكم فرقانا ويكفر عنكم سيـاتكم ويغفر لكم  وٱلله ذو ٱلفضل ٱلعظيم,"O believers! If you are mindful of Allah, He will grant you a standard ˹to distinguish between right and wrong˺, absolve you of your sins, and forgive you. And Allah is the Lord of infinite bounty.",149,9,2,72,75,6236,Medinan,False,nan,19,"[يأيها,ٱلذين,ءامنوا,إن,تتقوا,ٱلله,يجعل,لكم,فرقانا,ويكفر,عنكم,سيـاتكم,ويغفر,لكم,,وٱلله,ذو,ٱلفضل,ٱلعظيم]"
8,The Spoils of War,الأنفال,Al-Anfal,30,1190,وإذ يمكر بك ٱلذين كفروا ليثبتوك أو يقتلوك أو يخرجوك  ويمكرون ويمكر ٱلله  وٱلله خير ٱلمكرين,"And ˹remember, O  Prophet,˺ when the disbelievers conspired to capture, kill, or exile you. They planned, but Allah also planned. And Allah is the best of planners.",149,9,2,72,75,6236,Medinan,False,nan,18,"[وإذ,يمكر,بك,ٱلذين,كفروا,ليثبتوك,أو,يقتلوك,أو,يخرجوك,,ويمكرون,ويمكر,ٱلله,,وٱلله,خير,ٱلمكرين]"
8,The Spoils of War,الأنفال,Al-Anfal,31,1191,وإذا تتلى عليهم ءايتنا قالوا قد سمعنا لو نشاء لقلنا مثل هذا  إن هذا إلا أسطير ٱلأولين,"Whenever Our revelations are recited to them, they challenge ˹you˺, “We have already heard ˹the recitation˺. If we wanted, we could have easily produced something similar. This ˹Quran˺ is nothing but ancient fables!”",149,9,2,72,75,6236,Medinan,False,nan,18,"[وإذا,تتلى,عليهم,ءايتنا,قالوا,قد,سمعنا,لو,نشاء,لقلنا,مثل,هذا,,إن,هذا,إلا,أسطير,ٱلأولين]"
8,The Spoils of War,الأنفال,Al-Anfal,32,1192,وإذ قالوا ٱللهم إن كان هذا هو ٱلحق من عندك فأمطر علينا حجارة من ٱلسماء أو ٱئتنا بعذاب أليم,"And ˹remember˺ when they prayed, “O Allah! If this is indeed the truth from You, then rain down stones upon us from the sky or overcome us with a painful punishment.”",149,9,2,72,75,6236,Medinan,False,nan,19,"[وإذ,قالوا,ٱللهم,إن,كان,هذا,هو,ٱلحق,من,عندك,فأمطر,علينا,حجارة,من,ٱلسماء,أو,ٱئتنا,بعذاب,أليم]"
8,The Spoils of War,الأنفال,Al-Anfal,33,1193,وما كان ٱلله ليعذبهم وأنت فيهم  وما كان ٱلله معذبهم وهم يستغفرون,But Allah would never punish them while you ˹O Prophet˺ were in their midst. Nor would He ever punish them if they prayed for forgiveness.,149,9,2,72,75,6236,Medinan,False,nan,13,"[وما,كان,ٱلله,ليعذبهم,وأنت,فيهم,,وما,كان,ٱلله,معذبهم,وهم,يستغفرون]"
8,The Spoils of War,الأنفال,Al-Anfal,34,1194,وما لهم ألا يعذبهم ٱلله وهم يصدون عن ٱلمسجد ٱلحرام وما كانوا أولياءهۥ  إن أولياؤهۥ إلا ٱلمتقون ولكن أكثرهم لا يعلمون,"And why should Allah not punish them while they hinder pilgrims from the Sacred Mosque, claiming to be its rightful guardians? None has the right to guardianship except those mindful ˹of Allah˺, but most pagans do not know.",149,9,2,72,75,6236,Medinan,False,nan,22,"[وما,لهم,ألا,يعذبهم,ٱلله,وهم,يصدون,عن,ٱلمسجد,ٱلحرام,وما,كانوا,أولياءهۥ,,إن,أولياؤهۥ,إلا,ٱلمتقون,ولكن,أكثرهم,لا,يعلمون]"
8,The Spoils of War,الأنفال,Al-Anfal,35,1195,وما كان صلاتهم عند ٱلبيت إلا مكاء وتصدية  فذوقوا ٱلعذاب بما كنتم تكفرون,Their prayer at the Sacred House was nothing but whistling and clapping. So taste the punishment for your disbelief.,149,9,2,72,75,6236,Medinan,False,nan,14,"[وما,كان,صلاتهم,عند,ٱلبيت,إلا,مكاء,وتصدية,,فذوقوا,ٱلعذاب,بما,كنتم,تكفرون]"
8,The Spoils of War,الأنفال,Al-Anfal,36,1196,إن ٱلذين كفروا ينفقون أمولهم ليصدوا عن سبيل ٱلله  فسينفقونها ثم تكون عليهم حسرة ثم يغلبون  وٱلذين كفروا إلى جهنم يحشرون,"Surely the disbelievers spend their wealth to hinder others from the Path of Allah. They will continue to spend to the point of regret. Then they will be defeated and the disbelievers will be driven into Hell,",149,9,2,72,75,6236,Medinan,False,nan,23,"[إن,ٱلذين,كفروا,ينفقون,أمولهم,ليصدوا,عن,سبيل,ٱلله,,فسينفقونها,ثم,تكون,عليهم,حسرة,ثم,يغلبون,,وٱلذين,كفروا,إلى,جهنم,يحشرون]"
8,The Spoils of War,الأنفال,Al-Anfal,37,1197,ليميز ٱلله ٱلخبيث من ٱلطيب ويجعل ٱلخبيث بعضهۥ على بعض فيركمهۥ جميعا فيجعلهۥ فى جهنم  أولئك هم ٱلخسرون,so Allah may separate the evil from the good. He will pile up the evil ones all together and then cast them into Hell. They are the ˹true˺ losers.,149,9,2,72,75,6236,Medinan,False,nan,19,"[ليميز,ٱلله,ٱلخبيث,من,ٱلطيب,ويجعل,ٱلخبيث,بعضهۥ,على,بعض,فيركمهۥ,جميعا,فيجعلهۥ,فى,جهنم,,أولئك,هم,ٱلخسرون]"
8,The Spoils of War,الأنفال,Al-Anfal,38,1198,قل للذين كفروا إن ينتهوا يغفر لهم ما قد سلف وإن يعودوا فقد مضت سنت ٱلأولين,"Tell the disbelievers that if they desist, their past will be forgiven. But if they persist, then they have an example in those destroyed before them.",150,9,2,72,75,6236,Medinan,False,nan,16,"[قل,للذين,كفروا,إن,ينتهوا,يغفر,لهم,ما,قد,سلف,وإن,يعودوا,فقد,مضت,سنت,ٱلأولين]"
8,The Spoils of War,الأنفال,Al-Anfal,39,1199,وقتلوهم حتى لا تكون فتنة ويكون ٱلدين كلهۥ لله  فإن ٱنتهوا فإن ٱلله بما يعملون بصير,"Fight against them until there is no more persecution—and ˹your˺ devotion will be entirely to Allah. But if they desist, then surely Allah is All-Seeing of what they do.",150,9,2,72,75,6236,Medinan,False,nan,17,"[وقتلوهم,حتى,لا,تكون,فتنة,ويكون,ٱلدين,كلهۥ,لله,,فإن,ٱنتهوا,فإن,ٱلله,بما,يعملون,بصير]"
8,The Spoils of War,الأنفال,Al-Anfal,40,1200,وإن تولوا فٱعلموا أن ٱلله مولىكم  نعم ٱلمولى ونعم ٱلنصير,"And if they do not comply, then know that Allah is your Protector. What an excellent Protector, and what an excellent Helper!",150,9,2,72,75,6236,Medinan,False,nan,11,"[وإن,تولوا,فٱعلموا,أن,ٱلله,مولىكم,,نعم,ٱلمولى,ونعم,ٱلنصير]"
8,The Spoils of War,الأنفال,Al-Anfal,41,1201,۞ وٱعلموا أنما غنمتم من شىء فأن لله خمسهۥ وللرسول ولذى ٱلقربى وٱليتمى وٱلمسكين وٱبن ٱلسبيل إن كنتم ءامنتم بٱلله وما أنزلنا على عبدنا يوم ٱلفرقان يوم ٱلتقى ٱلجمعان  وٱلله على كل شىء قدير,"Know that whatever spoils you take, one-fifth is for Allah and the Messenger, his close relatives, orphans, the poor, and ˹needy˺ travellers, if you ˹truly˺ believe in Allah and what We revealed to Our servant on that decisive day when the two armies met ˹at Badr˺. And Allah is Most Capable of everything.",150,10,2,73,75,6236,Medinan,False,nan,35,"[۞,وٱعلموا,أنما,غنمتم,من,شىء,فأن,لله,خمسهۥ,وللرسول,ولذى,ٱلقربى,وٱليتمى,وٱلمسكين,وٱبن,ٱلسبيل,إن,كنتم,ءامنتم,بٱلله,وما,أنزلنا,على,عبدنا,يوم,ٱلفرقان,يوم,ٱلتقى,ٱلجمعان,,وٱلله,على,كل,شىء,قدير]"
8,The Spoils of War,الأنفال,Al-Anfal,42,1202,إذ أنتم بٱلعدوة ٱلدنيا وهم بٱلعدوة ٱلقصوى وٱلركب أسفل منكم  ولو تواعدتم لٱختلفتم فى ٱلميعد  ولكن ليقضى ٱلله أمرا كان مفعولا ليهلك من هلك عن بينة ويحيى من حى عن بينة  وإن ٱلله لسميع عليم,"˹Remember˺ when you were on the near side of the valley, your enemy on the far side, and the caravan was below you. Even if the two armies had made an appointment ˹to meet˺, both would have certainly missed it. Still it transpired so Allah may establish what He had destined—that those who were to perish and those who were to survive might do so after the truth had been made clear to both. Surely Allah is All-Hearing, All-Knowing.",150,10,2,73,75,6236,Medinan,False,nan,38,"[إذ,أنتم,بٱلعدوة,ٱلدنيا,وهم,بٱلعدوة,ٱلقصوى,وٱلركب,أسفل,منكم,,ولو,تواعدتم,لٱختلفتم,فى,ٱلميعد,,ولكن,ليقضى,ٱلله,أمرا,كان,مفعولا,ليهلك,من,هلك,عن,بينة,ويحيى,من,حى,عن,بينة,,وإن,ٱلله,لسميع,عليم]"
8,The Spoils of War,الأنفال,Al-Anfal,43,1203,إذ يريكهم ٱلله فى منامك قليلا  ولو أرىكهم كثيرا لفشلتم ولتنزعتم فى ٱلأمر ولكن ٱلله سلم  إنهۥ عليم بذات ٱلصدور,"˹Remember, O  Prophet,˺ when Allah showed them in your dream as few in number. Had He shown them to you as many, you ˹believers˺ would have certainly faltered and disputed in the matter. But Allah spared you ˹from that˺. Surely He knows best what is ˹hidden˺ in the heart.",150,10,2,73,75,6236,Medinan,False,nan,22,"[إذ,يريكهم,ٱلله,فى,منامك,قليلا,,ولو,أرىكهم,كثيرا,لفشلتم,ولتنزعتم,فى,ٱلأمر,ولكن,ٱلله,سلم,,إنهۥ,عليم,بذات,ٱلصدور]"
8,The Spoils of War,الأنفال,Al-Anfal,44,1204,وإذ يريكموهم إذ ٱلتقيتم فى أعينكم قليلا ويقللكم فى أعينهم ليقضى ٱلله أمرا كان مفعولا  وإلى ٱلله ترجع ٱلأمور,"Then when your armies met, Allah made them appear as few in your eyes, and made you appear as few in theirs, so Allah may establish what He had destined. And to Allah ˹all˺ matters will be returned ˹for judgment˺.",150,10,2,73,75,6236,Medinan,False,nan,20,"[وإذ,يريكموهم,إذ,ٱلتقيتم,فى,أعينكم,قليلا,ويقللكم,فى,أعينهم,ليقضى,ٱلله,أمرا,كان,مفعولا,,وإلى,ٱلله,ترجع,ٱلأمور]"
8,The Spoils of War,الأنفال,Al-Anfal,45,1205,يأيها ٱلذين ءامنوا إذا لقيتم فئة فٱثبتوا وٱذكروا ٱلله كثيرا لعلكم تفلحون,"O believers! When you face an enemy, stand firm and remember Allah often so you may triumph.",151,10,2,73,75,6236,Medinan,False,nan,12,"[يأيها,ٱلذين,ءامنوا,إذا,لقيتم,فئة,فٱثبتوا,وٱذكروا,ٱلله,كثيرا,لعلكم,تفلحون]"
8,The Spoils of War,الأنفال,Al-Anfal,46,1206,وأطيعوا ٱلله ورسولهۥ ولا تنزعوا فتفشلوا وتذهب ريحكم  وٱصبروا  إن ٱلله مع ٱلصبرين,"Obey Allah and His Messenger and do not dispute with one another, or you would be discouraged and weakened. Persevere! Surely Allah is with those who persevere.",151,10,2,73,75,6236,Medinan,False,nan,15,"[وأطيعوا,ٱلله,ورسولهۥ,ولا,تنزعوا,فتفشلوا,وتذهب,ريحكم,,وٱصبروا,,إن,ٱلله,مع,ٱلصبرين]"
8,The Spoils of War,الأنفال,Al-Anfal,47,1207,ولا تكونوا كٱلذين خرجوا من ديرهم بطرا ورئاء ٱلناس ويصدون عن سبيل ٱلله  وٱلله بما يعملون محيط,"Do not be like those ˹pagans˺ who left their homes arrogantly, only to be seen by people and to hinder others from Allah’s Path. And Allah is Fully Aware of what they do.",151,10,2,73,75,6236,Medinan,False,nan,18,"[ولا,تكونوا,كٱلذين,خرجوا,من,ديرهم,بطرا,ورئاء,ٱلناس,ويصدون,عن,سبيل,ٱلله,,وٱلله,بما,يعملون,محيط]"
8,The Spoils of War,الأنفال,Al-Anfal,48,1208,وإذ زين لهم ٱلشيطن أعملهم وقال لا غالب لكم ٱليوم من ٱلناس وإنى جار لكم  فلما تراءت ٱلفئتان نكص على عقبيه وقال إنى برىء منكم إنى أرى ما لا ترون إنى أخاف ٱلله  وٱلله شديد ٱلعقاب,"And ˹remember˺ when Satan made their ˹evil˺ deeds appealing to them, and said, “No one can overcome you today. I am surely by your side.” But when the two forces faced off, he cowered and said, “I have absolutely nothing to do with you. I certainly see what you do not see. I truly fear Allah, for Allah is severe in punishment.”",151,10,2,73,75,6236,Medinan,False,nan,38,"[وإذ,زين,لهم,ٱلشيطن,أعملهم,وقال,لا,غالب,لكم,ٱليوم,من,ٱلناس,وإنى,جار,لكم,,فلما,تراءت,ٱلفئتان,نكص,على,عقبيه,وقال,إنى,برىء,منكم,إنى,أرى,ما,لا,ترون,إنى,أخاف,ٱلله,,وٱلله,شديد,ٱلعقاب]"
8,The Spoils of War,الأنفال,Al-Anfal,49,1209,إذ يقول ٱلمنفقون وٱلذين فى قلوبهم مرض غر هؤلاء دينهم  ومن يتوكل على ٱلله فإن ٱلله عزيز حكيم,"˹Remember˺ when the hypocrites and those with sickness in their hearts said, “These ˹believers˺ are deluded by their faith.” But whoever puts their trust in Allah, surely Allah is Almighty, All-Wise.",152,10,2,73,75,6236,Medinan,False,nan,19,"[إذ,يقول,ٱلمنفقون,وٱلذين,فى,قلوبهم,مرض,غر,هؤلاء,دينهم,,ومن,يتوكل,على,ٱلله,فإن,ٱلله,عزيز,حكيم]"
8,The Spoils of War,الأنفال,Al-Anfal,50,1210,ولو ترى إذ يتوفى ٱلذين كفروا  ٱلملئكة يضربون وجوههم وأدبرهم وذوقوا عذاب ٱلحريق,"If only you could see when the angels take the souls of the disbelievers, beating their faces and backs, ˹saying,˺ “Taste the torment of burning!",152,10,2,73,75,6236,Medinan,False,nan,14,"[ولو,ترى,إذ,يتوفى,ٱلذين,كفروا,,ٱلملئكة,يضربون,وجوههم,وأدبرهم,وذوقوا,عذاب,ٱلحريق]"
8,The Spoils of War,الأنفال,Al-Anfal,51,1211,ذلك بما قدمت أيديكم وأن ٱلله ليس بظلم للعبيد,This is ˹the reward˺ for what your hands have done. And Allah is never unjust to ˹His˺ creation.”,152,10,2,73,75,6236,Medinan,False,nan,9,"[ذلك,بما,قدمت,أيديكم,وأن,ٱلله,ليس,بظلم,للعبيد]"
8,The Spoils of War,الأنفال,Al-Anfal,52,1212,كدأب ءال فرعون  وٱلذين من قبلهم  كفروا بـايت ٱلله فأخذهم ٱلله بذنوبهم  إن ٱلله قوى شديد ٱلعقاب,"Their fate is that of the people of Pharaoh and those before them—they all disbelieved in Allah’s signs, so Allah seized them for their sins. Indeed, Allah is All-Powerful, severe in punishment.",152,10,2,73,75,6236,Medinan,False,nan,20,"[كدأب,ءال,فرعون,,وٱلذين,من,قبلهم,,كفروا,بـايت,ٱلله,فأخذهم,ٱلله,بذنوبهم,,إن,ٱلله,قوى,شديد,ٱلعقاب]"
8,The Spoils of War,الأنفال,Al-Anfal,53,1213,ذلك بأن ٱلله لم يك مغيرا نعمة أنعمها على قوم حتى يغيروا ما بأنفسهم  وأن ٱلله سميع عليم,"This is because Allah would never discontinue His favour to a people until they discontinue their faith. Surely Allah is All-Hearing, All-Knowing.",152,10,2,73,75,6236,Medinan,False,nan,19,"[ذلك,بأن,ٱلله,لم,يك,مغيرا,نعمة,أنعمها,على,قوم,حتى,يغيروا,ما,بأنفسهم,,وأن,ٱلله,سميع,عليم]"
8,The Spoils of War,الأنفال,Al-Anfal,54,1214,كدأب ءال فرعون  وٱلذين من قبلهم  كذبوا بـايت ربهم فأهلكنهم بذنوبهم وأغرقنا ءال فرعون  وكل كانوا ظلمين,"That was the case with Pharaoh’s people and those before them—they all rejected the signs of their Lord, so We destroyed them for their sins and drowned Pharaoh’s people. They were all wrongdoers.",152,10,2,73,75,6236,Medinan,False,nan,20,"[كدأب,ءال,فرعون,,وٱلذين,من,قبلهم,,كذبوا,بـايت,ربهم,فأهلكنهم,بذنوبهم,وأغرقنا,ءال,فرعون,,وكل,كانوا,ظلمين]"
8,The Spoils of War,الأنفال,Al-Anfal,55,1215,إن شر ٱلدواب عند ٱلله ٱلذين كفروا فهم لا يؤمنون,"Indeed, the worst of all beings in the sight of Allah are those who persist in disbelief, never to have faith—",152,10,2,73,75,6236,Medinan,False,nan,10,"[إن,شر,ٱلدواب,عند,ٱلله,ٱلذين,كفروا,فهم,لا,يؤمنون]"
8,The Spoils of War,الأنفال,Al-Anfal,56,1216,ٱلذين عهدت منهم ثم ينقضون عهدهم فى كل مرة وهم لا يتقون,"˹namely˺ those with whom you ˹O Prophet˺ have entered into treaties, but they violate them every time, not fearing the consequences.",152,10,2,73,75,6236,Medinan,False,nan,12,"[ٱلذين,عهدت,منهم,ثم,ينقضون,عهدهم,فى,كل,مرة,وهم,لا,يتقون]"
8,The Spoils of War,الأنفال,Al-Anfal,57,1217,فإما تثقفنهم فى ٱلحرب فشرد بهم من خلفهم لعلهم يذكرون,"If you ever encounter them in battle, make a fearsome example of them, so perhaps those who would follow them may be deterred.",152,10,2,73,75,6236,Medinan,False,nan,10,"[فإما,تثقفنهم,فى,ٱلحرب,فشرد,بهم,من,خلفهم,لعلهم,يذكرون]"
8,The Spoils of War,الأنفال,Al-Anfal,58,1218,وإما تخافن من قوم خيانة فٱنبذ إليهم على سواء  إن ٱلله لا يحب ٱلخائنين,"And if you ˹O Prophet˺ see signs of betrayal by a people, respond by openly terminating your treaty with them. Surely Allah does not like those who betray.",152,10,2,73,75,6236,Medinan,False,nan,15,"[وإما,تخافن,من,قوم,خيانة,فٱنبذ,إليهم,على,سواء,,إن,ٱلله,لا,يحب,ٱلخائنين]"
8,The Spoils of War,الأنفال,Al-Anfal,59,1219,ولا يحسبن ٱلذين كفروا سبقوا  إنهم لا يعجزون,Do not let those disbelievers think they are not within reach. They will have no escape.,153,10,2,73,75,6236,Medinan,False,nan,9,"[ولا,يحسبن,ٱلذين,كفروا,سبقوا,,إنهم,لا,يعجزون]"
8,The Spoils of War,الأنفال,Al-Anfal,60,1220,وأعدوا لهم ما ٱستطعتم من قوة ومن رباط ٱلخيل ترهبون بهۦ عدو ٱلله وعدوكم وءاخرين من دونهم لا تعلمونهم ٱلله يعلمهم  وما تنفقوا من شىء فى سبيل ٱلله يوف إليكم وأنتم لا تظلمون,Prepare against them what you ˹believers˺ can of ˹military˺ power and cavalry to deter Allah’s enemies and your enemies as well as other enemies unknown to you but known to Allah. Whatever you spend in the cause of Allah will be paid to you in full and you will not be wronged.,153,10,2,73,75,6236,Medinan,False,nan,34,"[وأعدوا,لهم,ما,ٱستطعتم,من,قوة,ومن,رباط,ٱلخيل,ترهبون,بهۦ,عدو,ٱلله,وعدوكم,وءاخرين,من,دونهم,لا,تعلمونهم,ٱلله,يعلمهم,,وما,تنفقوا,من,شىء,فى,سبيل,ٱلله,يوف,إليكم,وأنتم,لا,تظلمون]"
8,The Spoils of War,الأنفال,Al-Anfal,61,1221,۞ وإن جنحوا للسلم فٱجنح لها وتوكل على ٱلله  إنهۥ هو ٱلسميع ٱلعليم,"If the enemy is inclined towards peace, make peace with them. And put your trust in Allah. Indeed, He ˹alone˺ is the All-Hearing, All-Knowing.",153,10,2,74,75,6236,Medinan,False,nan,14,"[۞,وإن,جنحوا,للسلم,فٱجنح,لها,وتوكل,على,ٱلله,,إنهۥ,هو,ٱلسميع,ٱلعليم]"
8,The Spoils of War,الأنفال,Al-Anfal,62,1222,وإن يريدوا أن يخدعوك فإن حسبك ٱلله  هو ٱلذى أيدك بنصرهۦ وبٱلمؤمنين,"But if their intention is only to deceive you, then Allah is certainly sufficient for you. He is the One Who has supported you with His help and with the believers.",153,10,2,74,75,6236,Medinan,False,nan,13,"[وإن,يريدوا,أن,يخدعوك,فإن,حسبك,ٱلله,,هو,ٱلذى,أيدك,بنصرهۦ,وبٱلمؤمنين]"
8,The Spoils of War,الأنفال,Al-Anfal,63,1223,وألف بين قلوبهم  لو أنفقت ما فى ٱلأرض جميعا ما ألفت بين قلوبهم ولكن ٱلله ألف بينهم  إنهۥ عزيز حكيم,"He brought their hearts together. Had you spent all the riches in the earth, you could not have united their hearts. But Allah has united them. Indeed, He is Almighty, All-Wise.",153,10,2,74,75,6236,Medinan,False,nan,22,"[وألف,بين,قلوبهم,,لو,أنفقت,ما,فى,ٱلأرض,جميعا,ما,ألفت,بين,قلوبهم,ولكن,ٱلله,ألف,بينهم,,إنهۥ,عزيز,حكيم]"
8,The Spoils of War,الأنفال,Al-Anfal,64,1224,يأيها ٱلنبى حسبك ٱلله ومن ٱتبعك من ٱلمؤمنين,O  Prophet! Allah is sufficient for you and for the believers who follow you.,153,10,2,74,75,6236,Medinan,False,nan,8,"[يأيها,ٱلنبى,حسبك,ٱلله,ومن,ٱتبعك,من,ٱلمؤمنين]"
8,The Spoils of War,الأنفال,Al-Anfal,65,1225,يأيها ٱلنبى حرض ٱلمؤمنين على ٱلقتال  إن يكن منكم عشرون صبرون يغلبوا مائتين  وإن يكن منكم مائة يغلبوا ألفا من ٱلذين كفروا بأنهم قوم لا يفقهون,"O Prophet! Motivate the believers to fight. If there are twenty steadfast among you, they will overcome two hundred. And if there are one hundred of you, they will overcome one thousand of the disbelievers, for they are a people who do not comprehend.",154,10,2,74,75,6236,Medinan,False,nan,28,"[يأيها,ٱلنبى,حرض,ٱلمؤمنين,على,ٱلقتال,,إن,يكن,منكم,عشرون,صبرون,يغلبوا,مائتين,,وإن,يكن,منكم,مائة,يغلبوا,ألفا,من,ٱلذين,كفروا,بأنهم,قوم,لا,يفقهون]"
8,The Spoils of War,الأنفال,Al-Anfal,66,1226,ٱلـن خفف ٱلله عنكم وعلم أن فيكم ضعفا  فإن يكن منكم مائة صابرة يغلبوا مائتين  وإن يكن منكم ألف يغلبوا ألفين بإذن ٱلله  وٱلله مع ٱلصبرين,"Now Allah has lightened your burden, for He knows that there is weakness in you. So if there are a hundred steadfast among you, they will overcome two hundred. And if there be one thousand, they will overcome two thousand, by Allah’s Will. And Allah is with the steadfast.",154,10,2,74,75,6236,Medinan,False,nan,29,"[ٱلـن,خفف,ٱلله,عنكم,وعلم,أن,فيكم,ضعفا,,فإن,يكن,منكم,مائة,صابرة,يغلبوا,مائتين,,وإن,يكن,منكم,ألف,يغلبوا,ألفين,بإذن,ٱلله,,وٱلله,مع,ٱلصبرين]"
8,The Spoils of War,الأنفال,Al-Anfal,67,1227,ما كان لنبى أن يكون لهۥ أسرى حتى يثخن فى ٱلأرض  تريدون عرض ٱلدنيا وٱلله يريد ٱلءاخرة  وٱلله عزيز حكيم,"It is not fit for a prophet that he should take captives until he has thoroughly subdued the land. You ˹believers˺ settled with the fleeting gains of this world, while Allah’s aim ˹for you˺ is the Hereafter. Allah is Almighty, All-Wise.",154,10,2,74,75,6236,Medinan,False,nan,22,"[ما,كان,لنبى,أن,يكون,لهۥ,أسرى,حتى,يثخن,فى,ٱلأرض,,تريدون,عرض,ٱلدنيا,وٱلله,يريد,ٱلءاخرة,,وٱلله,عزيز,حكيم]"
8,The Spoils of War,الأنفال,Al-Anfal,68,1228,لولا كتب من ٱلله سبق لمسكم فيما أخذتم عذاب عظيم,"Had it not been for a prior decree from Allah, you would have certainly been disciplined with a tremendous punishment for whatever ˹ransom˺ you have taken.",154,10,2,74,75,6236,Medinan,False,nan,10,"[لولا,كتب,من,ٱلله,سبق,لمسكم,فيما,أخذتم,عذاب,عظيم]"
8,The Spoils of War,الأنفال,Al-Anfal,69,1229,فكلوا مما غنمتم حللا طيبا  وٱتقوا ٱلله  إن ٱلله غفور رحيم,"Now enjoy what you have taken, for it is lawful and good. And be mindful of Allah. Surely Allah is All-Forgiving, Most Merciful.",154,10,2,74,75,6236,Medinan,False,nan,13,"[فكلوا,مما,غنمتم,حللا,طيبا,,وٱتقوا,ٱلله,,إن,ٱلله,غفور,رحيم]"
